UF,nome_municipio,pop_est,pop_est_2016,geocodigo
PB,Coxixola,1935,1909,2504850
PB,Cruz do Espírito Santo,17461,17389,2504900
PB,Cubati,7832,7234,2505006
PB,Cuité,20334,20337,2505105
PB,Cuitegi,6775,6815,2505204
PB,Cuité de Mamanguape,6356,6349,2505238
PB,Curral de Cima,5218,5238,2505279
PB,Curral Velho,2512,2520,2505303
PB,Damião,5370,5296,2505352
PB,Desterro,8315,8280,2505402
PB,Vista Serrana,3824,3777,2505501
PB,Diamante,6528,6570,2505600
PB,Dona Inês,10413,10419,2505709
PB,Duas Estradas,3582,3606,2505808
PB,Emas,3539,3507,2505907
PB,Esperança,33199,33031,2506004
PB,Fagundes,11215,11345,2506103
PB,Frei Martinho,2989,2988,2506202
PB,Gado Bravo,8303,8443,2506251
PB,Guarabira,59115,58529,2506301
PB,Gurinhém,14127,14126,2506400
PB,Gurjão,3453,3407,2506509
PB,Ibiara,5903,5949,2506608
PB,Imaculada,11848,11792,2506707
PB,Ingá,18144,18105,2506806
PB,Itabaiana,24419,24519,2506905
PB,Itaporanga,24828,24674,2507002
PB,Itapororoca,18823,18527,2507101
PB,Itatuba,11016,10809,2507200
PB,Jacaraú,14450,14348,2507309
PB,Jericó,7745,7730,2507408
PB,João Pessoa,817511,801718,2507507
PB,Juarez Távora,7976,7901,2507606
PB,Juazeirinho,18298,18061,2507705
PB,Junco do Seridó,7195,7111,2507804
PB,Juripiranga,10793,10721,2507903
PB,Juru,9849,9880,2508000
PB,Lagoa,4653,4676,2508109
PB,Lagoa de Dentro,7737,7645,2508208
PB,Lagoa Seca,27617,27398,2508307
PB,Lastro,2718,2745,2508406
PB,Livramento,7265,7371,2508505
PB,Logradouro,4369,4299,2508554
PB,Lucena,13214,12965,2508604
PB,Mãe d'Água,3999,4017,2508703
PB,Malta,5752,5668,2508802
PB,Mamanguape,45136,44694,2508901
PB,Manaíra,10972,11094,2509008
PB,Marcação,8653,8475,2509057
PB,Mari,21866,21806,2509107
PB,Marizópolis,6654,6569,2509156
PB,Massaranduba,13998,13755,2509206
PB,Mataraca,8539,8345,2509305
PB,Matinhas,4515,4517,2509339
PB,Mato Grosso,2926,2892,2509370
PB,Maturéia,6630,6516,2509396
PB,Mogeiro,13261,13300,2509404
PB,Montadas,5738,5611,2509503
PB,Monte Horebe,4842,4793,2509602
PB,Monteiro,33433,33039,2509701
PB,Mulungu,9932,9882,2509800
PB,Natuba,10451,10455,2509909
PB,Nazarezinho,7286,7307,2510006
PB,Nova Floresta,10626,10644,2510105
PB,Nova Olinda,5920,5971,2510204
PB,Nova Palmeira,4959,4849,2510303
PB,Olho d'Água,6462,6578,2510402
PB,Olivedos,3961,3916,2510501
PB,Ouro Velho,3046,3033,2510600
PB,Parari,1758,1782,2510659
PB,Passagem,2436,2404,2510709
PB,Patos,108192,107067,2510808
PB,Paulista,12379,12263,2510907
PB,Pedra Branca,3802,3800,2511004
PB,Pedra Lavrada,7899,8053,2511103
PB,Pedras de Fogo,28533,28395,2511202
PB,Piancó,16111,16039,2511301
PB,Picuí,18720,18704,2511400
PB,Pilar,11977,11863,2511509
PB,Pilões,6576,6667,2511608
PB,Pilõezinhos,4955,5099,2511707
PB,Pirpirituba,10584,10570,2511806
PB,Pitimbu,19275,18938,2511905
PB,Pocinhos,18708,18451,2512002
PB,Poço Dantas,3882,3774,2512036
PB,Poço de José de Moura,4337,4282,2512077
PB,Pombal,32802,32739,2512101
PB,Prata,4238,4145,2512200
PB,Princesa Isabel,23549,23247,2512309
PB,Puxinanã,13741,13638,2512408
PB,Queimadas,44179,43945,2512507
PB,Quixaba,1983,1933,2512606
PB,Remígio,19798,19368,2512705
PB,Pedro Régis,6114,6067,2512721
PB,Riachão,3619,3570,2512747
PB,Riachão do Bacamarte,4541,4503,2512754
PB,Riachão do Poço,4540,4481,2512762
PB,Riacho de Santo Antônio,1974,1955,2512788
PB,Riacho dos Cavalos,8541,8587,2512804
PB,Rio Tinto,24218,24090,2512903
PB,Salgadinho,3931,3927,2513000
PB,Salgado de São Félix,12131,12145,2513109
PB,Santa Cecília,6541,6570,2513158
PB,Santa Cruz,6581,6582,2513208
PB,Santa Helena,5871,5902,2513307
PB,Santa Inês,3593,3595,2513356
PB,Santa Luzia,15426,15341,2513406
PB,Santana de Mangueira,5129,5191,2513505
PB,Santana dos Garrotes,6986,7067,2513604
PB,Joca Claudino,2639,2685,2513653
PB,Santa Rita,137349,135915,2513703
PB,Santa Teresinha,4562,4582,2513802
PB,Santo André,2509,2529,2513851
PB,São Bento,34344,33847,2513901
PB,São Bentinho,4566,4497,2513927
PB,São Domingos do Cariri,2630,2582,2513943
PB,São Domingos,3097,3091,2513968
PB,São Francisco,3384,3369,2513984
PB,São João do Cariri,4184,4309,2514008
PB,São João do Tigre,4415,4427,2514107
PB,São José da Lagoa Tapada,7626,7678,2514206
PB,São José de Caiana,6376,6256,2514305
PB,São José de Espinharas,4656,4659,2514404
PB,São José dos Ramos,5998,5920,2514453
PB,São José de Piranhas,20329,20062,2514503
PB,São José de Princesa,3950,3897,2514552
PB,São José do Bonfim,3588,3530,2514602
PB,São José do Brejo do Cruz,1811,1793,2514651
PB,São José do Sabugi,4147,4135,2514701
PB,São José dos Cordeiros,3618,3720,2514800
PB,São Mamede,7702,7738,2514909
PB,São Miguel de Taipu,7410,7131,2515005
PB,São Sebastião de Lagoa de Roça,11728,11762,2515104
PB,São Sebastião do Umbuzeiro,3512,3469,2515203
PB,Sapé,52804,52463,2515302
PB,São Vicente do Seridó,10848,10994,2515401
PB,Serra Branca,13754,13637,2515500
PB,Serra da Raiz,3131,3137,2515609
PB,Serra Grande,2916,3089,2515708
PB,Serra Redonda,7021,7036,2515807
PB,Serraria,6068,6123,2515906
PB,Sertãozinho,5089,4969,2515930
PB,Sobrado,7815,7754,2515971
PB,Solânea,26227,26551,2516003
PB,Soledade,15102,14853,2516102
PB,Sossêgo,3594,3522,2516151
PB,Sousa,69723,69196,2516201
PB,Sumé,17031,16872,2516300
PB,Tacima,10969,10896,2516409
PB,Taperoá,15441,15193,2516508
PB,Tavares,14759,14615,2516607
PB,Teixeira,15248,15085,2516706
PB,Tenório,3081,3039,2516755
PB,Triunfo,9464,9465,2516805
PB,Uiraúna,15300,15307,2516904
PB,Umbuzeiro,9911,9901,2517001
PB,Várzea,2841,2784,2517100
PB,Vieirópolis,5372,5327,2517209
PB,Zabelê,2255,2227,2517407
PE,Abreu e Lima,100346,98990,2600054
PE,Afogados da Ingazeira,37404,36866,2600104
PE,Afrânio,19810,19225,2600203
PE,Agrestina,25065,24454,2600302
PE,Água Preta,37082,36040,2600401
PE,Águas Belas,43686,42831,2600500
PE,Alagoinha,14718,14431,2600609
PE,Aliança,38397,38261,2600708
PE,Altinho,22984,22886,2600807
PE,Amaraji,22870,22685,2600906
PE,Angelim,11226,10965,2601003
PE,Araçoiaba,20733,20046,2601052
PE,Araripina,84864,83287,2601102
PE,Arcoverde,74822,73154,2601201
PE,Barra de Guabiraba,14510,14091,2601300
PE,Barreiros,42764,42331,2601409
PE,Belém de Maria,12122,11941,2601508
PE,Belém do São Francisco,20730,20672,2601607
PE,Belo Jardim,76687,75729,2601706
PE,Betânia,12765,12589,2601805
PE,Bezerros,60880,60469,2601904
PE,Bodocó,38378,37571,2602001
PE,Bom Conselho,48767,47991,2602100
PE,Bom Jardim,39983,38976,2602209
PE,Bonito,38117,38069,2602308
PE,Brejão,8987,8980,2602407
PE,Brejinho,7488,7464,2602506
PE,Brejo da Madre de Deus,51225,49624,2602605
PE,Buenos Aires,13190,13050,2602704
PE,Buíque,58919,57120,2602803
PE,Cabo de Santo Agostinho,208944,202636,2602902
PE,Cabrobó,34503,33557,2603009
PE,Cachoeirinha,20501,20082,2603108
PE,Caetés,28904,28326,2603207
PE,Calçado,11018,11094,2603306
PE,Calumbi,5747,5741,2603405
PE,Camaragibe,158899,155228,2603454
PE,Camocim de São Félix,18900,18440,2603504
PE,Camutanga,8572,8472,2603603
PE,Canhotinho,24773,24799,2603702
PE,Capoeiras,20048,19994,2603801
PE,Carnaíba,19609,19380,2603900
PE,Carnaubeira da Penha,13025,12706,2603926
PE,Carpina,84395,81884,2604007
PE,Caruaru,365278,351686,2604106
PE,Casinhas,14368,14247,2604155
PE,Catende,43340,41865,2604205
PE,Cedro,11891,11607,2604304
PE,Chã de Alegria,13556,13302,2604403
PE,Chã Grande,21815,21402,2604502
PE,Condado,26590,26008,2604601
PE,Correntes,18268,18033,2604700
PE,Cortês,12560,12581,2604809
PE,Cumaru,10192,12332,2604908
PE,Cupira,24173,23909,2605004
PE,Custódia,37375,36474,2605103
PE,Dormentes,19079,18510,2605152
PE,Escada,69292,67839,2605202
PE,Exu,31766,31858,2605301
PE,Feira Nova,22247,21836,2605400
PE,Fernando de Noronha,3101,2974,2605459
PE,Ferreiros,12170,12008,2605509
PE,Flores,22618,22577,2605608
PE,Floresta,33184,32152,2605707
PE,Frei Miguelinho,15546,15234,2605806
PE,Gameleira,31318,30426,2605905
PE,Garanhuns,140577,137810,2606002
PE,Glória do Goitá,30751,30324,2606101
PE,Goiana,80055,78940,2606200
PE,Granito,7537,7363,2606309
PE,Gravatá,84699,82579,2606408
PE,Iati,19241,19056,2606507
PE,Ibimirim,29412,28798,2606606
PE,Ibirajuba,7768,7730,2606705
PE,Igarassu,118370,113956,2606804
PE,Iguaracy,12247,12156,2606903
PE,Inajá,23645,22374,2607000
PE,Ingazeira,4543,4549,2607109
PE,Ipojuca,97669,92965,2607208
PE,Ipubi,31187,30091,2607307
PE,Itacuruba,4966,4807,2607406
PE,Itaíba,26308,26362,2607505
PE,Ilha de Itamaracá,26672,25346,2607604
PE,Itambé,36471,36299,2607653
PE,Itapetim,13553,13708,2607703
PE,Itapissuma,26900,26073,2607752
PE,Itaquitinga,17006,16806,2607802
PE,Jaboatão dos Guararapes,706867,691125,2607901
PE,Jaqueira,11644,11649,2607950
PE,Jataúba,17228,16943,2608008
PE,Jatobá,14850,14646,2608057
PE,João Alfredo,33328,33217,2608107
PE,Joaquim Nabuco,16011,16004,2608206
PE,Jucati,11485,11269,2608255
PE,Jupi,14922,14620,2608305
PE,Jurema,15431,15229,2608404
PE,Lagoa do Carro,18252,17654,2608453
PE,Lagoa de Itaenga,21460,21308,2608503
PE,Lagoa do Ouro,13224,12951,2608602
PE,Lagoa dos Gatos,16318,16190,2608701
PE,Lagoa Grande,25849,25030,2608750
PE,Lajedo,40589,39570,2608800
PE,Limoeiro,56198,56203,2608909
PE,Macaparana,25472,25114,2609006
PE,Machados,16321,15571,2609105
PE,Manari,21776,20681,2609154
PE,Maraial,11220,11570,2609204
PE,Mirandiba,15470,15185,2609303
PE,Moreno,63294,61577,2609402
PE,Nazaré da Mata,32573,32174,2609501
PE,Olinda,393115,390144,2609600
PE,Orobó,23935,23717,2609709
PE,Orocó,15152,14623,2609808
PE,Ouricuri,69969,68236,2609907
PE,Palmares,63500,62571,2610004
PE,Palmeirina,7600,7864,2610103
PE,Panelas,26456,26440,2610202
PE,Paranatama,11566,11403,2610301
PE,Parnamirim,22106,21290,2610400
PE,Passira,28894,28935,2610509
PE,Paudalho,56933,55493,2610608
PE,Paulista,334376,325590,2610707
PE,Pedra,22668,22455,2610806
PE,Pesqueira,67735,66524,2610905
PE,Petrolândia,36901,35731,2611002
PE,Petrolina,354317,337683,2611101
PE,Poção,11305,11266,2611200
PE,Pombos,27148,26902,2611309
PE,Primavera,15101,14657,2611408
PE,Quipapá,26175,25686,2611507
PE,Quixaba,6805,6812,2611533
PE,Recife,1653461,1625583,2611606
PE,Riacho das Almas,20646,20286,2611705
PE,Ribeirão,47616,46877,2611804
PE,Rio Formoso,23628,23282,2611903
PE,Sairé,9764,10247,2612000
PE,Salgadinho,11068,10588,2612109
PE,Salgueiro,61249,60117,2612208
PE,Saloá,15862,15761,2612307
PE,Sanharó,26890,25521,2612406
PE,Santa Cruz,15558,15032,2612455
PE,Santa Cruz da Baixa Verde,12650,12439,2612471
PE,Santa Cruz do Capibaribe,109897,103660,2612505
PE,Santa Filomena,14562,14265,2612554
PE,Santa Maria da Boa Vista,42100,41475,2612604
PE,Santa Maria do Cambucá,14223,13921,2612703
PE,Santa Terezinha,11865,11682,2612802
PE,São Benedito do Sul,16069,15497,2612901
PE,São Bento do Una,60042,58251,2613008
PE,São Caitano,37368,36895,2613107
PE,São João,22899,22518,2613206
PE,São Joaquim do Monte,21398,21215,2613305
PE,São José da Coroa Grande,21586,20654,2613404
PE,São José do Belmonte,34021,33742,2613503
PE,São José do Egito,34056,33537,2613602
PE,São Lourenço da Mata,114079,111197,2613701
PE,São Vicente Ferrer,18085,17834,2613800
PE,Serra Talhada,86915,84970,2613909
PE,Serrita,19196,19049,2614006
PE,Sertânia,36050,35521,2614105
PE,Sirinhaém,46361,44734,2614204
PE,Moreilândia,11270,11240,2614303
PE,Solidão,6021,5964,2614402
PE,Surubim,65647,63780,2614501
PE,Tabira,28704,28132,2614600
PE,Tacaimbó,12859,12872,2614709
PE,Tacaratu,26106,25003,2614808
PE,Tamandaré,23623,22850,2614857
PE,Taquaritinga do Norte,29127,27981,2615003
PE,Terezinha,7198,7089,2615102
PE,Terra Nova,10206,10313,2615201
PE,Timbaúba,52802,53328,2615300
PE,Toritama,46164,43174,2615409
PE,Tracunhaém,13813,13643,2615508
PE,Trindade,30816,29842,2615607
PE,Triunfo,15243,15235,2615706
PE,Tupanatinga,27551,26727,2615805
PE,Tuparetama,8256,8159,2615904
PE,Venturosa,18661,18067,2616001
PE,Verdejante,9553,9471,2616100
PE,Vertente do Lério,7571,7693,2616183
PE,Vertentes,20954,20222,2616209
PE,Vicência,32772,32296,2616308
PE,Vitória de Santo Antão,139583,136706,2616407
PE,Xexéu,14757,14618,2616506
AL,Água Branca,20230,20422,2700102
AL,Anadia,17526,17832,2700201
AL,Arapiraca,233047,232671,2700300
AL,Atalaia,47365,47528,2700409
AL,Barra de Santo Antônio,16068,15909,2700508
AL,Barra de São Miguel,8378,8336,2700607
AL,Batalha,18338,18631,2700706
AL,Belém,4284,4517,2700805
AL,Belo Monte,6710,6786,2700904
AL,Boca da Mata,27356,27498,2701001
AL,Branquinha,10460,10709,2701100
AL,Cacimbinhas,10889,10859,2701209
AL,Cajueiro,21331,21443,2701308
AL,Campestre,6954,7002,2701357
AL,Campo Alegre,57537,57008,2701407
AL,Campo Grande,9567,9678,2701506
AL,Canapi,17719,17980,2701605
AL,Capela,16979,17428,2701704
AL,Carneiros,9159,9065,2701803
AL,Chã Preta,7311,7424,2701902
AL,Coité do Nóia,10643,10939,2702009
AL,Colônia Leopoldina,21818,21786,2702108
AL,Coqueiro Seco,5864,5895,2702207
AL,Coruripe,57294,57079,2702306
AL,Craíbas,24309,24403,2702355
AL,Delmiro Gouveia,52262,52306,2702405
AL,Dois Riachos,11067,11219,2702504
AL,Estrela de Alagoas,18255,18373,2702553
AL,Feira Grande,22178,22458,2702603
AL,Feliz Deserto,4779,4777,2702702
AL,Flexeiras,12807,12943,2702801
AL,Girau do Ponciano,41237,40912,2702900
AL,Ibateguara,15627,15822,2703007
AL,Igaci,25613,26031,2703106
AL,Igreja Nova,24586,24687,2703205
AL,Inhapi,18392,18637,2703304
AL,Jacaré dos Homens,5219,5391,2703403
AL,Jacuípe,7006,7148,2703502
AL,Japaratinga,8403,8403,2703601
AL,Jaramataia,5761,5685,2703700
AL,Jequiá da Praia,11536,11824,2703759
AL,Joaquim Gomes,24081,24174,2703809
AL,Jundiá,4137,4249,2703908
AL,Junqueiro,24722,25088,2704005
AL,Lagoa da Canoa,17771,18256,2704104
AL,Limoeiro de Anadia,28771,28793,2704203
AL,Maceió,1025360,1021709,2704302
AL,Major Isidoro,19864,20126,2704401
AL,Maragogi,33032,32568,2704500
AL,Maravilha,9004,9588,2704609
AL,Marechal Deodoro,52380,51715,2704708
AL,Maribondo,13193,13587,2704807
AL,Mar Vermelho,3494,3600,2704906
AL,Mata Grande,25207,25589,2705002
AL,Matriz de Camaragibe,24634,25010,2705101
AL,Messias,18031,17789,2705200
AL,Minador do Negrão,5322,5419,2705309
AL,Monteirópolis,7165,7251,2705408
AL,Murici,28333,28462,2705507
AL,Novo Lino,12764,12735,2705606
AL,Olho d'Água das Flores,21738,21706,2705705
AL,Olho d'Água do Casado,9441,9381,2705804
AL,Olho d'Água Grande,5128,5187,2705903
AL,Olivença,11657,11731,2706000
AL,Ouro Branco,11535,11589,2706109
AL,Palestina,5037,5036,2706208
AL,Palmeira dos Índios,73337,74049,2706307
AL,Pão de Açúcar,24351,24834,2706406
AL,Pariconha,10539,10674,2706422
AL,Paripueira,13332,13076,2706448
AL,Passo de Camaragibe,15258,15441,2706505
AL,Paulo Jacinto,7560,7680,2706604
AL,Penedo,63846,64292,2706703
AL,Piaçabuçu,17848,18043,2706802
AL,Pilar,35212,35428,2706901
AL,Pindoba,2905,2954,2707008
AL,Piranhas,25183,25130,2707107
AL,Poço das Trincheiras,14418,14535,2707206
AL,Porto Calvo,27249,27398,2707305
AL,Porto de Pedras,7701,8055,2707404
AL,Porto Real do Colégio,20112,20268,2707503
AL,Quebrangulo,11248,11542,2707602
AL,Rio Largo,75394,75688,2707701
AL,Roteiro,6649,6788,2707800
AL,Santa Luzia do Norte,7320,7357,2707909
AL,Santana do Ipanema,47819,48033,2708006
AL,Santana do Mundaú,10687,10952,2708105
AL,São Brás,6969,7046,2708204
AL,São José da Laje,23996,24140,2708303
AL,São José da Tapera,32405,32455,2708402
AL,São Luís do Quitunde,34692,34798,2708501
AL,São Miguel dos Campos,61797,61204,2708600
AL,São Miguel dos Milagres,8013,7951,2708709
AL,São Sebastião,34290,34387,2708808
AL,Satuba,13936,13824,2708907
AL,Senador Rui Palmeira,13921,13974,2708956
AL,Tanque d'Arca,6138,6293,2709004
AL,Taquarana,20072,20097,2709103
AL,Teotônio Vilela,44372,44426,2709152
AL,Traipu,27826,27938,2709202
AL,União dos Palmares,65790,66255,2709301
AL,Viçosa,25693,26176,2709400
SE,Amparo de São Francisco,2380,2382,2800100
SE,Aquidabã,21681,21452,2800209
SE,Aracaju,664908,641523,2800308
SE,Arauá,9947,10467,2800407
SE,Areia Branca,18686,18329,2800506
SE,Barra dos Coqueiros,30930,29248,2800605
SE,Boquim,26899,26856,2800670
SE,Brejo Grande,8353,8271,2800704
SE,Campo do Brito,18218,17986,2801009
SE,Canhoba,4006,4057,2801108
SE,Canindé de São Francisco,30402,28832,2801207
SE,Capela,34514,33715,2801306
SE,Carira,22239,21665,2801405
SE,Carmópolis,16937,15952,2801504
SE,Cedro de São João,5913,5912,2801603
SE,Cristinápolis,18029,18092,2801702
SE,Cumbe,3998,3999,2801900
SE,Divina Pastora,5215,4975,2802007
SE,Estância,69556,68846,2802106
SE,Feira Nova,5601,5595,2802205
SE,Frei Paulo,15556,15200,2802304
SE,Gararu,11601,11730,2802403
SE,General Maynard,3384,3274,2802502
SE,Graccho Cardoso,5824,5859,2802601
SE,Ilha das Flores,8521,8604,2802700
SE,Indiaroba,18149,17600,2802809
SE,Itabaiana,96142,94393,2802908
SE,Itabaianinha,42166,41686,2803005
SE,Itabi,4886,5002,2803104
SE,Itaporanga d'Ajuda,34709,33713,2803203
SE,Japaratuba,18907,18474,2803302
SE,Japoatã,13429,13242,2803401
SE,Lagarto,105221,103188,2803500
SE,Laranjeiras,30080,29418,2803609
SE,Macambira,6961,6873,2803708
SE,Malhada dos Bois,3699,3673,2803807
SE,Malhador,12653,12645,2803906
SE,Maruim,17271,17225,2804003
SE,Moita Bonita,11348,11416,2804102
SE,Monte Alegre de Sergipe,15175,15017,2804201
SE,Muribeca,7639,7662,2804300
SE,Neópolis,18703,18956,2804409
SE,Nossa Senhora Aparecida,8809,8850,2804458
SE,Nossa Senhora da Glória,37324,36174,2804508
SE,Nossa Senhora das Dores,26795,26434,2804607
SE,Nossa Senhora de Lourdes,6496,6512,2804706
SE,Nossa Senhora do Socorro,185706,179661,2804805
SE,Pacatuba,14540,14293,2804904
SE,Pedra Mole,3285,3227,2805000
SE,Pedrinhas,9665,9523,2805109
SE,Pinhão,6627,6499,2805208
SE,Pirambu,9359,9153,2805307
SE,Poço Redondo,35122,34147,2805406
SE,Poço Verde,23867,23580,2805505
SE,Porto da Folha,28693,28615,2805604
SE,Propriá,29692,29745,2805703
SE,Riachão do Dantas,19809,19995,2805802
SE,Riachuelo,10284,10116,2805901
SE,Ribeirópolis,18773,18503,2806008
SE,Rosário do Catete,11008,10533,2806107
SE,Salgado,20025,20126,2806206
SE,Santa Luzia do Itanhy,14121,13936,2806305
SE,Santana do São Francisco,7844,7680,2806404
SE,Santa Rosa de Lima,3923,3926,2806503
SE,Santo Amaro das Brotas,12151,12086,2806602
SE,São Cristóvão,91093,88118,2806701
SE,São Domingos,11207,11053,2806800
SE,São Francisco,3781,3916,2806909
SE,São Miguel do Aleixo,3947,3923,2807006
SE,Simão Dias,40606,40684,2807105
SE,Siriri,8970,8765,2807204
SE,Telha,3249,3196,2807303
SE,Tobias Barreto,52530,51770,2807402
SE,Tomar do Geru,13535,13204,2807501
SE,Umbaúba,25550,24832,2807600
BA,Abaíra,8710,9212,2900108
BA,Abaré,20347,19939,2900207
BA,Acajutiba,15187,15764,2900306
BA,Adustina,17126,17254,2900355
BA,Água Fria,17033,17431,2900405
BA,Érico Cardoso,10560,11405,2900504
BA,Aiquara,4416,4745,2900603
BA,Alagoinhas,152327,155362,2900702
BA,Alcobaça,22490,23331,2900801
BA,Almadina,5366,6062,2900900
BA,Amargosa,37441,38041,2901007
BA,Amélia Rodrigues,25048,26424,2901106
BA,América Dourada,16090,16781,2901155
BA,Anagé,21607,19824,2901205
BA,Andaraí,13132,13732,2901304
BA,Andorinha,14503,15551,2901353
BA,Angical,13938,14707,2901403
BA,Anguera,11297,11402,2901502
BA,Antas,19479,19382,2901601
BA,Antônio Cardoso,11677,12200,2901700
BA,Antônio Gonçalves,11878,11989,2901809
BA,Aporá,17788,19223,2901908
BA,Apuarema,7302,7745,2901957
BA,Aracatu,13045,14023,2902005
BA,Araças,12208,12495,2902054
BA,Araci,54648,55637,2902104
BA,Aramari,11461,11385,2902203
BA,Arataca,10961,11697,2902252
BA,Aratuípe,8837,9150,2902302
BA,Aurelino Leal,11299,12891,2902401
BA,Baianópolis,13929,14262,2902500
BA,Baixa Grande,20449,21393,2902609
BA,Banzaê,13240,13738,2902658
BA,Barra,53910,54563,2902708
BA,Barra da Estiva,20392,22232,2902807
BA,Barra do Choça,31209,34421,2902906
BA,Barra do Mendes,13833,14570,2903003
BA,Barra do Rocha,5612,6338,2903102
BA,Barreiras,156975,155519,2903201
BA,Barro Alto,15054,15093,2903235
BA,Barrocas,16105,16167,2903276
BA,Barro Preto,5448,6367,2903300
BA,Belmonte,23437,23891,2903409
BA,Belo Campo,17109,18312,2903508
BA,Biritinga,15984,16628,2903607
BA,Boa Nova,12329,14314,2903706
BA,Boa Vista do Tupim,18531,19516,2903805
BA,Bom Jesus da Lapa,69662,70090,2903904
BA,Bom Jesus da Serra,9823,10515,2903953
BA,Boninal,14446,14675,2904001
BA,Bonito,16884,17006,2904050
BA,Boquira,21497,22448,2904100
BA,Botuporã,10129,10957,2904209
BA,Brejões,14222,15166,2904308
BA,Brejolândia,10618,10768,2904407
BA,Brotas de Macaúbas,10130,11049,2904506
BA,Brumado,67335,69473,2904605
BA,Buerarema,18306,19269,2904704
BA,Buritirama,21276,21671,2904753
BA,Caatiba,6488,10044,2904803
BA,Cabaceiras do Paraguaçu,18911,19199,2904852
BA,Cachoeira,33567,35013,2904902
BA,Caculé,23291,23685,2905008
BA,Caém,9058,10179,2905107
BA,Caetanos,14608,16045,2905156
BA,Caetité,51081,52696,2905206
BA,Cafarnaum,18513,18917,2905305
BA,Cairu,18427,17985,2905404
BA,Caldeirão Grande,13391,13643,2905503
BA,Camacan,32006,33257,2905602
BA,Camaçari,304302,292074,2905701
BA,Camamu,35382,36543,2905800
BA,Campo Alegre de Lourdes,28820,29994,2905909
BA,Campo Formoso,71487,73118,2906006
BA,Canápolis,9703,10146,2906105
BA,Canarana,26325,26702,2906204
BA,Canavieiras,30906,33130,2906303
BA,Candeal,8181,8894,2906402
BA,Candeias,87458,89271,2906501
BA,Candiba,14368,14732,2906600
BA,Cândido Sales,25053,26760,2906709
BA,Cansanção,34882,36105,2906808
BA,Canudos,16753,17222,2906824
BA,Capela do Alto Alegre,11616,12203,2906857
BA,Capim Grosso,30862,31181,2906873
BA,Caraíbas,8801,9890,2906899
BA,Caravelas,22093,22646,2906907
BA,Cardeal da Silva,9346,9809,2907004
BA,Carinhanha,29070,30041,2907103
BA,Casa Nova,72545,72798,2907202
BA,Castro Alves,26318,27161,2907301
BA,Catolândia,3599,3695,2907400
BA,Catu,54970,56037,2907509
BA,Caturama,9316,9764,2907558
BA,Central,17280,17935,2907608
BA,Chorrochó,11200,11558,2907707
BA,Cícero Dantas,32576,34581,2907806
BA,Cipó,17352,17673,2907905
BA,Coaraci,16549,19383,2908002
BA,Cocos,18807,19449,2908101
BA,Conceição da Feira,22762,22840,2908200
BA,Conceição do Almeida,17165,18278,2908309
BA,Conceição do Coité,67013,67875,2908408
BA,Conceição do Jacuípe,33398,33624,2908507
BA,Conde,26035,26412,2908606
BA,Condeúba,17178,18229,2908705
BA,Contendas do Sincorá,4045,4312,2908804
BA,Coração de Maria,22495,23961,2908903
BA,Cordeiros,8642,8870,2909000
BA,Coribe,14149,14954,2909109
BA,Coronel João Sá,15717,16951,2909208
BA,Correntina,32191,33275,2909307
BA,Cotegipe,13769,14409,2909406
BA,Cravolândia,5351,5568,2909505
BA,Crisópolis,21163,21700,2909604
BA,Cristópolis,13947,14354,2909703
BA,Cruz das Almas,63591,64552,2909802
BA,Curaçá,34886,35320,2909901
BA,Dário Meira,10525,11864,2910008
BA,Dias d'Ávila,82432,79401,2910057
BA,Dom Basílio,12240,12553,2910107
BA,Dom Macedo Costa,4065,4201,2910206
BA,Elísio Medrado,8126,8448,2910305
BA,Encruzilhada,16446,19837,2910404
BA,Entre Rios,41901,43172,2910503
BA,Esplanada,37578,37085,2910602
BA,Euclides da Cunha,60858,61618,2910701
BA,Eunápolis,114396,114275,2910727
BA,Fátima,17845,18461,2910750
BA,Feira da Mata,5661,5918,2910776
BA,Feira de Santana,619609,622639,2910800
BA,Filadélfia,16345,17184,2910859
BA,Firmino Alves,5629,5804,2910909
BA,Floresta Azul,10575,11279,2911006
BA,Formosa do Rio Preto,25857,25652,2911105
BA,Gandu,32596,33030,2911204
BA,Gavião,4440,4740,2911253
BA,Gentio do Ouro,11259,11603,2911303
BA,Glória,15234,15810,2911402
BA,Gongogi,6985,7961,2911501
BA,Governador Mangabeira,20762,21435,2911600
BA,Guajeru,6646,8322,2911659
BA,Guanambi,84928,86320,2911709
BA,Guaratinga,20700,22251,2911808
BA,Heliópolis,12987,13739,2911857
BA,Iaçu,24121,26012,2911907
BA,Ibiassucê,9031,10337,2912004
BA,Ibicaraí,21378,23770,2912103
BA,Ibicoara,19786,19578,2912202
BA,Ibicuí,16230,16748,2912301
BA,Ibipeba,18319,18563,2912400
BA,Ibipitanga,14947,15356,2912509
BA,Ibiquera,4046,4207,2912608
BA,Ibirapitanga,23404,24238,2912707
BA,Ibirapuã,8690,8796,2912806
BA,Ibirataia,14882,17573,2912905
BA,Ibitiara,16403,16779,2913002
BA,Ibititá,17080,17957,2913101
BA,Ibotirama,27003,27762,2913200
BA,Ichu,6220,6418,2913309
BA,Igaporã,15650,16255,2913408
BA,Igrapiúna,13091,14288,2913457
BA,Iguaí,26963,27865,2913507
BA,Ilhéus,159923,178210,2913606
BA,Inhambupe,40333,40908,2913705
BA,Ipecaetá,14354,15596,2913804
