UF,nome_municipio,pop_est,pop_est_2016,geocodigo
AM,Tefé,59547,62230,1304203
AM,Tonantins,18897,18632,1304237
AM,Uarini,13690,13276,1304260
AM,Urucará,16130,17065,1304302
AM,Urucurituba,23585,21650,1304401
RR,Amajari,13185,11285,1400027
RR,Alto Alegre,15380,16053,1400050
RR,Boa Vista,419652,326419,1400100
RR,Bonfim,12557,11843,1400159
RR,Cantá,18799,16516,1400175
RR,Caracaraí,22283,20537,1400209
RR,Caroebe,10383,9331,1400233
RR,Iracema,12296,10592,1400282
RR,Mucajaí,18172,16618,1400308
RR,Normandia,11532,10339,1400407
RR,Pacaraima,18913,12144,1400456
RR,Rorainópolis,30782,27756,1400472
RR,São João da Baliza,8348,7629,1400506
RR,São Luiz,8110,7503,1400605
RR,Uiramutã,10789,9664,1400704
PA,Abaetetuba,159080,151934,1500107
PA,Abel Figueiredo,7486,7179,1500131
PA,Acará,55669,54080,1500206
PA,Afuá,39567,37778,1500305
PA,Água Azul do Norte,27615,26497,1500347
PA,Alenquer,57092,54960,1500404
PA,Almeirim,34076,33282,1500503
PA,Altamira,115969,109938,1500602
PA,Anajás,29688,28012,1500701
PA,Ananindeua,535547,510834,1500800
PA,Anapu,28607,26271,1500859
PA,Augusto Corrêa,46471,44227,1500909
PA,Aurora do Pará,31773,29991,1500958
PA,Aveiro,16404,15950,1501006
PA,Bagre,31325,29065,1501105
PA,Baião,48459,44956,1501204
PA,Bannach,3262,3233,1501253
PA,Barcarena,127027,118537,1501303
PA,Belém,1499641,1446042,1501402
PA,Belterra,17839,17145,1501451
PA,Benevides,63768,59836,1501501
PA,Bom Jesus do Tocantins,17118,16375,1501576
PA,Bonito,16530,15563,1501600
PA,Bragança,128914,122881,1501709
PA,Brasil Novo,14983,14834,1501725
PA,Brejo Grande do Araguaia,7368,7206,1501758
PA,Breu Branco,67332,62737,1501782
PA,Breves,103497,99080,1501808
PA,Bujaru,29427,28016,1501907
PA,Cachoeira do Piriá,34609,32139,1501956
PA,Cachoeira do Arari,24064,22786,1502004
PA,Cametá,139364,132515,1502103
PA,Canaã dos Carajás,38103,34853,1502152
PA,Capanema,69431,66759,1502202
PA,Capitão Poço,54425,52768,1502301
PA,Castanhal,203251,192571,1502400
PA,Chaves,23948,22821,1502509
PA,Colares,12131,11721,1502608
PA,Conceição do Araguaia,47991,46485,1502707
PA,Concórdia do Pará,33781,31884,1502756
PA,Cumaru do Norte,13761,12765,1502764
PA,Curionópolis,17846,17578,1502772
PA,Curralinho,34994,32881,1502806
PA,Curuá,14587,13783,1502855
PA,Curuçá,40584,38391,1502905
PA,Dom Eliseu,60469,57251,1502939
PA,Eldorado do Carajás,33940,32780,1502954
PA,Faro,7070,7168,1503002
PA,Floresta do Araguaia,20525,19508,1503044
PA,Garrafão do Norte,26111,25345,1503077
PA,Goianésia do Pará,41081,38677,1503093
PA,Gurupá,33755,32049,1503101
PA,Igarapé-Açu,39023,37547,1503200
PA,Igarapé-Miri,63036,60675,1503309
PA,Inhangapi,11861,11224,1503408
PA,Ipixuna do Pará,65625,60433,1503457
PA,Irituia,32595,31664,1503507
PA,Itaituba,101395,98485,1503606
PA,Itupiranga,53355,51806,1503705
PA,Jacareacanga,7590,41487,1503754
PA,Jacundá,59842,56781,1503804
PA,Juruti,58960,55179,1503903
PA,Limoeiro do Ajuru,29282,27760,1504000
PA,Mãe do Rio,30235,29112,1504059
PA,Magalhães Barata,8573,8298,1504109
PA,Marabá,283542,266932,1504208
PA,Maracanã,29516,28668,1504307
PA,Marapanim,28450,27471,1504406
PA,Marituba,133685,125435,1504422
PA,Medicilândia,31975,30315,1504455
PA,Melgaço,27890,26652,1504505
PA,Mocajuba,31530,29846,1504604
PA,Moju,83182,78629,1504703
PA,Mojuí dos Campos,16184,15548,1504752
PA,Monte Alegre,58162,56391,1504802
PA,Muaná,40906,38616,1504901
PA,Nova Esperança do Piriá,21444,20727,1504950
PA,Nova Ipixuna,16854,16032,1504976
PA,Nova Timboteua,15506,14791,1505007
PA,Novo Progresso,25766,25102,1505031
PA,Novo Repartimento,77214,72347,1505064
PA,Óbidos,52306,50596,1505106
PA,Oeiras do Pará,32850,31257,1505205
PA,Oriximiná,74016,70071,1505304
PA,Ourém,17961,17237,1505403
PA,Ourilândia do Norte,33335,31359,1505437
PA,Pacajá,48414,45596,1505486
PA,Palestina do Pará,7582,7404,1505494
PA,Paragominas,114503,108547,1505502
PA,Parauapebas,213576,196259,1505536
PA,Pau D'Arco,5410,5436,1505551
PA,Peixe-Boi,8081,7867,1505601
PA,Piçarra,12979,12653,1505635
PA,Placas,31659,29336,1505650
PA,Ponta de Pedras,31549,29700,1505700
PA,Portel,62945,59322,1505809
PA,Porto de Moz,41801,39246,1505908
PA,Prainha,29846,29132,1506005
PA,Primavera,10857,10510,1506104
PA,Quatipuru,13702,13142,1506112
PA,Redenção,85563,81647,1506138
PA,Rio Maria,18201,17721,1506161
PA,Rondon do Pará,52803,50460,1506187
PA,Rurópolis,51500,47971,1506195
PA,Salinópolis,40922,39328,1506203
PA,Salvaterra,24075,22740,1506302
PA,Santa Bárbara do Pará,21449,20077,1506351
PA,Santa Cruz do Arari,10314,9635,1506401
PA,Santa Izabel do Pará,71837,67686,1506500
PA,Santa Luzia do Pará,19843,19348,1506559
PA,Santa Maria das Barreiras,21850,20396,1506583
PA,Santa Maria do Pará,24995,24059,1506609
PA,Santana do Araguaia,74419,68934,1506708
PA,Santarém,306480,294447,1506807
PA,Santarém Novo,6753,6482,1506906
PA,Santo Antônio do Tauá,31918,30129,1507003
PA,São Caetano de Odivelas,18129,17492,1507102
PA,São Domingos do Araguaia,25753,24659,1507151
PA,São Domingos do Capim,32139,30987,1507201
PA,São Félix do Xingu,132138,120580,1507300
PA,São Francisco do Pará,15930,15418,1507409
